scope,cluster_id,algorithmic_medoid,selected_representative,representative_feature
final,503,ECFP_1309,ECFP_1309,ECFP_1309
final,504,ECFP_131,ECFP_131,ECFP_131
final,505,ECFP_1310,ECFP_1310,ECFP_1310
final,506,ECFP_1311,ECFP_1311,ECFP_1311
final,507,ECFP_1312,ECFP_1312,ECFP_1312
final,508,ECFP_1313,ECFP_1313,ECFP_1313
final,509,ECFP_1314,ECFP_1314,ECFP_1314
final,510,ECFP_1315,ECFP_1315,ECFP_1315
final,511,ECFP_1316,ECFP_1316,ECFP_1316
final,512,ECFP_1317,ECFP_1317,ECFP_1317
final,513,ECFP_1318,ECFP_1318,ECFP_1318
final,514,ECFP_1319,ECFP_1319,ECFP_1319
final,515,ECFP_132,ECFP_132,ECFP_132
final,516,ECFP_1320,ECFP_1320,ECFP_1320
